timestamp,altitude_ft,speed_knots,temperature_c,fuel_level_percent,engine_rpm,oil_pressure_psi,cabin_pressure_psi,heading_deg,pitch_deg,roll_deg,vertical_speed_fpm
2026-03-30 12:00:00,34999.84,448.29,-49.98,84.99,8393.47,57.94,10.89,181.10,0.50,0.12,-9.58
2026-03-30 12:00:01,34999.92,449.69,-50.06,84.98,8390.93,57.91,10.90,180.88,0.59,0.27,4.82
2026-03-30 12:00:02,34999.69,448.81,-50.06,84.96,8379.57,57.87,10.91,180.21,0.56,0.15,-13.89
2026-03-30 12:00:03,34999.45,448.89,-50.08,84.95,8392.81,57.89,10.89,181.00,0.66,-0.00,-14.53
2026-03-30 12:00:04,35000.07,448.50,-50.01,84.95,8412.23,58.06,10.90,180.07,0.69,-0.15,37.22
2026-03-30 12:00:05,35001.97,449.43,-50.06,84.93,8415.05,58.01,10.91,178.80,0.72,-0.32,114.34
2026-03-30 12:00:06,35005.57,451.14,-50.08,84.92,8401.00,58.06,10.90,177.38,0.67,-0.38,216.11
2026-03-30 12:00:07,35007.21,450.78,-50.12,84.90,8412.47,57.98,10.90,176.97,0.69,-0.47,98.18
2026-03-30 12:00:08,35008.72,449.43,-50.15,84.89,8429.82,57.74,10.91,176.61,0.61,-0.32,90.79
2026-03-30 12:00:09,35010.02,450.26,-50.13,84.88,8431.78,57.61,10.91,176.99,0.56,-0.38,77.89
2026-03-30 12:00:10,35011.04,450.03,-50.03,84.87,8444.51,57.45,10.93,176.38,0.59,-0.21,60.89
2026-03-30 12:00:11,35012.51,451.33,-50.05,84.85,8453.35,57.65,10.92,175.47,0.50,-0.19,88.13
2026-03-30 12:00:12,35013.55,450.00,-49.90,84.83,8435.93,57.85,10.91,176.64,0.42,0.00,62.86
2026-03-30 12:00:13,35014.67,449.52,-49.96,84.82,8432.44,57.69,10.93,177.51,0.37,0.01,66.84
2026-03-30 12:00:14,35016.62,451.39,-49.85,84.81,8445.39,57.94,10.94,178.66,0.40,-0.01,117.38
2026-03-30 12:00:15,35017.47,452.25,-49.84,84.80,8452.57,57.87,10.94,177.91,0.35,-0.21,50.70
2026-03-30 12:00:16,35019.38,451.54,-49.89,84.78,8441.49,57.65,10.95,178.61,0.40,-0.29,114.86
2026-03-30 12:00:17,35022.43,450.67,-49.97,84.77,8429.50,57.52,10.96,179.23,0.43,-0.39,182.88
2026-03-30 12:00:18,35027.43,450.03,-49.88,84.75,8420.41,57.67,10.95,180.38,0.32,-0.29,299.91
2026-03-30 12:00:19,35033.37,448.03,-49.92,84.74,8422.82,57.62,10.96,180.60,0.40,-0.36,356.30
2026-03-30 12:00:20,35039.03,447.43,-50.07,84.74,8413.78,57.45,10.96,181.83,0.34,-0.32,339.66
2026-03-30 12:00:21,35042.81,446.76,-50.22,84.72,8400.73,57.58,10.96,182.18,0.44,-0.18,226.67
2026-03-30 12:00:22,35047.19,446.42,-50.31,84.70,8396.09,57.44,10.97,181.13,0.41,-0.08,262.73
2026-03-30 12:00:23,35052.44,448.18,-50.43,84.69,8407.45,57.57,10.96,182.03,0.44,-0.18,315.09
2026-03-30 12:00:24,35056.55,446.65,-50.33,84.67,8399.58,57.33,10.98,181.65,0.43,-0.31,246.69
2026-03-30 12:00:25,35062.32,447.01,-50.22,84.67,8395.39,57.37,10.98,181.24,0.35,-0.28,346.03
2026-03-30 12:00:26,35067.92,448.24,-50.12,84.67,8387.12,57.46,10.98,180.47,0.24,-0.28,336.35
2026-03-30 12:00:27,35074.35,447.11,-50.12,84.65,8384.07,57.65,10.96,181.07,0.31,-0.41,385.90
2026-03-30 12:00:28,35081.80,445.54,-50.13,84.63,8371.65,57.56,10.97,181.86,0.20,-0.43,446.54
2026-03-30 12:00:29,35091.04,445.33,-50.17,84.63,8371.43,57.43,10.97,180.74,0.19,-0.31,554.53
2026-03-30 12:00:30,35102.14,444.44,-50.27,84.61,8366.01,57.27,10.95,181.70,0.22,-0.49,666.39
2026-03-30 12:00:31,35113.34,446.00,-50.33,84.59,8367.93,57.48,10.93,181.78,0.11,-0.67,671.64
2026-03-30 12:00:32,35124.41,444.33,-50.46,84.57,8372.24,57.45,10.95,182.15,0.11,-0.64,664.43
2026-03-30 12:00:33,35133.90,442.63,-50.53,84.56,8388.61,57.61,10.95,180.84,0.13,-0.81,569.52
2026-03-30 12:00:34,35143.49,442.84,-50.52,84.55,8405.49,57.61,10.97,181.10,0.22,-0.97,575.29
2026-03-30 12:00:35,35151.44,442.77,-50.66,84.53,8423.99,57.77,10.97,182.48,0.29,-0.98,477.04
2026-03-30 12:00:36,35160.28,441.96,-50.58,84.52,8418.11,57.87,10.97,181.83,0.33,-0.80,529.99
2026-03-30 12:00:37,35167.91,440.86,-50.60,84.51,8405.36,57.80,10.98,182.09,0.26,-0.62,458.19
2026-03-30 12:00:38,35175.97,439.28,-50.49,84.49,8391.70,57.61,10.97,181.50,0.23,-0.51,483.71
2026-03-30 12:00:39,35182.91,440.41,-50.39,84.49,8397.89,57.62,10.95,181.94,0.33,-0.68,416.26
2026-03-30 12:00:40,35189.74,439.36,-50.52,84.48,8402.34,57.61,10.93,183.39,0.44,-0.79,409.45
2026-03-30 12:00:41,35195.34,438.50,-50.55,84.47,8387.42,57.40,10.92,182.38,0.44,-0.63,336.35
2026-03-30 12:00:42,35199.62,440.00,-50.57,84.45,8379.94,57.39,10.92,182.87,0.34,-0.73,256.67
2026-03-30 12:00:43,35205.26,438.99,-50.45,84.43,8372.83,57.45,10.92,184.33,0.32,-0.82,338.13
2026-03-30 12:00:44,35209.64,439.53,-50.34,84.43,8390.08,57.35,10.91,185.49,0.36,-0.74,263.34
2026-03-30 12:00:45,35213.70,440.79,-50.26,84.43,8407.46,57.56,10.90,186.03,0.44,-0.76,243.21
2026-03-30 12:00:46,35217.87,442.21,-50.34,84.41,8402.86,57.66,10.91,185.25,0.49,-0.58,250.12
2026-03-30 12:00:47,35222.99,442.35,-50.39,84.40,8393.00,57.89,10.90,185.11,0.60,-0.61,307.56
2026-03-30 12:00:48,35228.54,441.09,-50.42,84.39,8375.16,57.69,10.88,184.25,0.60,-0.54,333.02
2026-03-30 12:00:49,35232.99,443.04,-50.33,84.38,8389.93,57.91,10.88,182.98,0.57,-0.70,266.74
2026-03-30 12:00:50,35237.82,442.78,-50.47,84.36,8370.92,57.73,10.87,181.61,0.52,-0.87,289.70
2026-03-30 12:00:51,35242.23,440.85,-50.40,84.35,8362.12,57.54,10.88,181.62,0.57,-0.88,264.59
2026-03-30 12:00:52,35246.53,440.51,-50.49,84.34,8379.69,57.64,10.86,182.97,0.47,-0.95,258.02
2026-03-30 12:00:53,35248.88,441.85,-50.47,84.34,8365.18,57.82,10.85,183.42,0.57,-0.87,141.23
2026-03-30 12:00:54,35251.08,443.17,-50.39,84.32,8366.79,57.69,10.84,183.97,0.52,-0.95,131.69
2026-03-30 12:00:55,35254.24,442.17,-50.33,84.32,8359.31,57.70,10.86,182.56,0.59,-1.00,189.79
2026-03-30 12:00:56,35256.78,443.40,-50.43,84.31,8350.52,57.60,10.86,183.46,0.51,-0.92,152.63
2026-03-30 12:00:57,35257.38,443.97,-50.58,84.29,8368.59,57.37,10.88,184.82,0.57,-0.77,35.75
2026-03-30 12:00:58,35256.70,444.71,-50.55,84.28,8387.27,57.17,10.86,185.16,0.65,-0.73,-40.53
2026-03-30 12:00:59,35256.62,443.95,-50.49,84.26,8378.36,57.39,10.87,186.31,0.74,-0.85,-4.72
2026-03-30 12:01:00,35257.54,445.79,-50.41,84.26,8393.49,57.19,10.87,185.44,0.82,-0.93,55.15
2026-03-30 12:01:01,35258.47,445.60,-50.34,84.25,8386.23,57.15,10.88,186.01,0.72,-0.73,55.33
2026-03-30 12:01:02,35257.88,443.62,-50.35,84.25,8374.39,57.28,10.88,185.67,0.83,-0.78,-35.02
2026-03-30 12:01:03,35256.34,444.35,-50.47,84.23,8361.17,57.50,10.87,185.70,0.73,-0.88,-92.32
2026-03-30 12:01:04,35255.74,443.09,-50.38,84.22,8359.07,57.45,10.86,186.66,0.64,-0.79,-36.08
2026-03-30 12:01:05,35254.17,441.36,-50.38,84.21,8363.28,57.43,10.86,186.04,0.68,-0.88,-94.44
2026-03-30 12:01:06,35253.74,443.15,-50.49,84.20,8355.13,57.48,10.85,186.74,0.58,-1.00,-25.77
2026-03-30 12:01:07,35254.61,443.97,-50.44,84.18,8353.14,57.70,10.87,187.42,0.52,-1.09,52.30
2026-03-30 12:01:08,35254.90,445.91,-50.31,84.18,8369.69,57.73,10.88,185.97,0.61,-0.99,17.17
2026-03-30 12:01:09,35256.33,445.34,-50.37,84.16,8349.82,57.81,10.87,187.19,0.51,-0.97,85.78
2026-03-30 12:01:10,35255.77,446.74,-50.50,84.14,8357.25,57.66,10.89,186.98,0.39,-1.00,-33.64
2026-03-30 12:01:11,35256.67,446.59,-50.48,84.13,8354.64,57.45,10.89,187.00,0.28,-1.19,54.40
2026-03-30 12:01:12,35258.05,448.08,-50.49,84.11,8349.18,57.29,10.91,185.65,0.21,-1.25,82.73
2026-03-30 12:01:13,35258.24,447.45,-50.63,84.10,8348.72,57.16,10.92,185.33,0.18,-1.09,11.27
2026-03-30 12:01:14,35259.80,446.22,-50.71,84.08,8353.30,57.15,10.93,185.74,0.15,-1.26,93.95
2026-03-30 12:01:15,35261.06,445.36,-50.71,84.07,8370.74,57.36,10.91,186.09,0.06,-1.15,75.41
2026-03-30 12:01:16,35262.99,445.27,-50.81,84.06,8365.42,57.19,10.91,185.50,0.13,-1.31,115.85
2026-03-30 12:01:17,35264.30,445.88,-50.87,84.04,8355.02,57.15,10.90,186.63,0.11,-1.27,78.51
2026-03-30 12:01:18,35265.18,446.28,-50.88,84.03,8338.47,57.11,10.89,187.94,0.01,-1.27,52.51
2026-03-30 12:01:19,35267.68,447.93,-50.93,84.01,8326.79,57.14,10.88,187.13,-0.01,-1.20,150.38
2026-03-30 12:01:20,35270.89,447.05,-50.88,84.00,8322.36,57.20,10.86,187.14,0.05,-1.05,192.30
2026-03-30 12:01:21,35272.71,445.69,-50.85,83.99,8340.68,57.37,10.85,188.02,0.02,-1.13,109.31
2026-03-30 12:01:22,35274.44,446.85,-50.82,83.98,8346.26,57.31,10.84,187.11,0.04,-0.98,103.75
2026-03-30 12:01:23,35276.14,446.18,-50.96,83.96,8365.47,57.38,10.85,187.75,-0.01,-1.18,101.86
2026-03-30 12:01:24,35279.80,445.38,-51.01,83.96,8377.57,57.46,10.86,187.04,-0.10,-1.21,220.14
2026-03-30 12:01:25,35281.58,444.64,-51.12,83.95,8389.38,57.22,10.87,187.43,-0.09,-1.35,106.49
2026-03-30 12:01:26,35283.09,446.14,-51.10,83.93,8402.86,57.19,10.86,188.93,-0.17,-1.20,90.45
2026-03-30 12:01:27,35284.22,444.46,-51.13,83.92,8384.61,57.00,10.85,188.61,-0.08,-1.11,67.97
2026-03-30 12:01:28,35284.59,445.44,-51.18,83.91,8375.50,56.93,10.84,187.40,-0.02,-0.95,22.33
2026-03-30 12:01:29,35285.31,445.64,-51.14,83.90,8370.48,56.88,10.84,185.91,0.04,-1.06,43.04
2026-03-30 12:01:30,35285.65,446.72,-51.10,83.89,8360.94,56.76,10.85,184.51,0.08,-1.18,20.19
2026-03-30 12:01:31,35287.14,445.94,-51.06,83.87,8342.20,56.83,10.86,185.14,0.03,-0.99,89.55
2026-03-30 12:01:32,35290.25,444.41,-51.04,83.86,8327.82,56.61,10.86,184.48,-0.04,-0.97,186.46
2026-03-30 12:01:33,35293.23,445.10,-51.10,83.85,8337.40,56.57,10.86,184.48,-0.14,-0.95,179.10
2026-03-30 12:01:34,35295.68,446.83,-51.15,83.83,8320.41,56.44,10.87,185.55,-0.23,-1.03,147.22
2026-03-30 12:01:35,35300.08,446.07,-51.29,83.83,8310.64,56.65,10.88,185.44,-0.15,-0.84,263.54
2026-03-30 12:01:36,35305.84,444.38,-51.33,83.81,8300.88,56.47,10.88,186.80,-0.12,-1.03,345.95
2026-03-30 12:01:37,35310.09,443.27,-51.48,83.79,8288.46,56.65,10.89,187.15,-0.19,-1.03,254.87
2026-03-30 12:01:38,35314.43,443.53,-51.45,83.79,8280.47,56.72,10.87,186.99,-0.10,-0.84,260.45
2026-03-30 12:01:39,35320.23,441.95,-51.54,83.78,8272.05,56.55,10.88,186.13,-0.10,-0.93,347.96
2026-03-30 12:01:40,35325.15,442.55,-51.69,83.77,8291.72,56.61,10.87,184.79,0.02,-0.95,295.25
2026-03-30 12:01:41,35329.19,441.97,-51.67,83.75,8298.48,56.40,10.87,184.94,0.05,-0.95,242.35
2026-03-30 12:01:42,35332.47,443.95,-51.64,83.75,8300.12,56.24,10.88,185.81,-0.05,-0.90,196.49
2026-03-30 12:01:43,35334.24,445.39,-51.57,83.74,8308.61,56.43,10.88,186.93,-0.16,-0.71,106.74
2026-03-30 12:01:44,35335.66,445.96,-51.59,83.74,8314.93,56.45,10.87,187.90,-0.26,-0.86,85.07
2026-03-30 12:01:45,35338.53,445.90,-51.73,83.73,8324.31,56.31,10.88,189.29,-0.18,-0.73,171.92
2026-03-30 12:01:46,35339.46,443.98,-51.74,83.71,8306.13,56.29,10.86,189.19,-0.13,-0.66,55.97
2026-03-30 12:01:47,35342.13,443.37,-51.82,83.71,8321.18,56.38,10.88,188.22,-0.07,-0.49,160.20
2026-03-30 12:01:48,35345.02,442.78,-51.90,83.69,8303.14,56.21,10.88,189.51,-0.08,-0.45,173.36
2026-03-30 12:01:49,35349.84,440.89,-52.02,83.67,8298.00,56.29,10.88,188.78,0.04,-0.52,289.23
2026-03-30 12:01:50,35354.42,439.66,-51.96,83.67,8281.86,56.16,10.87,187.92,0.04,-0.57,274.60
2026-03-30 12:01:51,35357.45,440.11,-51.83,83.66,8282.12,56.01,10.86,188.86,0.01,-0.45,182.06
2026-03-30 12:01:52,35361.41,439.47,-51.95,83.66,8285.71,55.93,10.84,187.74,-0.02,-0.48,237.41
2026-03-30 12:01:53,35365.72,439.45,-52.04,83.64,8269.20,55.86,10.84,186.61,0.02,-0.30,258.66
2026-03-30 12:01:54,35370.24,439.75,-52.02,83.63,8276.39,55.87,10.85,186.21,0.13,-0.40,271.24
2026-03-30 12:01:55,35372.92,440.87,-52.03,83.62,8284.88,55.62,10.85,186.37,0.18,-0.56,161.09
